caseyear,vehicle_miles_milions,mode,fatals
2010,5975.78,Air,40
2011,6004.58,Air,36
2012,5956.17,Air,26
2013,5964.98,Air,25
2014,5947.35,Air,23
2015,6045.82,Air,18
2016,6227.35,Air,23
2017,6337.8,Air,15
2018,6609.01,Air,16
2019,6815,Air,14
2020,4214.26,Air,3
2010,2967265.97,Car,33339
2011,2950401.81,Car,32840
2012,2969432.94,Car,34148
2013,2988280.19,Car,33237
2014,3025655.73,Car,33048
2015,3095372.7,Car,35794
2016,3174407.96,Car,38085
2017,3212347.31,Car,37763
2018,3240326.54,Car,37143
2019,3261771.66,Car,36644
2020,2903621.53,Car,39066
2010,35835.82,Train,46
2011,36945.315,Train,59
2012,36844.088,Train,67
2013,35577.949,Train,66
2014,37517.683,Train,43
2015,36172.46379,Train,66
2016,32888.384,Train,72
2017,34381.148,Train,56
2018,35290.54,Train,72
2019,33520.889,Train,88
2020,29548.68,Train,47
