caseyear,vehicle_miles_milions,mode
2010,5975.78,Air
2011,6004.58,Air
2012,5956.17,Air
2013,5964.98,Air
2014,5947.35,Air
2015,6045.82,Air
2016,6227.35,Air
2017,6337.8,Air
2018,6609.01,Air
2019,6815,Air
2020,4214.26,Air
2010,2967265.97,Car
2011,2950401.81,Car
2012,2969432.94,Car
2013,2988280.19,Car
2014,3025655.73,Car
2015,3095372.7,Car
2016,3174407.96,Car
2017,3212347.31,Car
2018,3240326.54,Car
2019,3261771.66,Car
2020,2903621.53,Car
2010,36937.15,Train
2011,38188.51,Train
2012,38102.43,Train
2013,36678.26,Train
2014,38676.42,Train
2015,37357.42,Train
2016,34079.96,Train
2017,35588.62,Train
2018,36502.05,Train
2019,34753.05,Train
2020,30644.6,Train
